                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1982,                0.93055,                 1.1772,                0.82483,                0.74446,                0.82608,                0.45079,                 1.5285,                  1.717,                 1.6245,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.2049,                0.91948,                 1.1875,                0.74977,                0.79538,                0.81109,                0.45165,                 1.5146,                 1.7186,                 1.6194,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1959,                0.89635,                 1.1598,                0.75463,                0.82437,                0.81961,                0.45612,                 1.5245,                 1.7314,                 1.6248,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.1679,                0.89485,                  1.157,                0.76102,                0.81184,                0.81637,                0.47091,                 1.5129,                 1.7856,                 1.6332,             0.00031908,             0.00031908,             0.00031908
                     38,                  1.135,                0.87105,                 1.1457,                 0.8103,                0.80125,                 0.8365,                0.47871,                 1.5065,                 1.7682,                 1.6391,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1647,                0.93951,                 1.1851,                0.87814,                0.73208,                0.83473,                   0.48,                    1.5,                 1.7182,                 1.6358,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.1355,                0.88114,                  1.179,                 0.8878,                0.72428,                0.83857,                0.49143,                 1.4627,                 1.6841,                 1.6082,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.0773,                0.90286,                 1.1444,                0.81569,                0.75513,                0.83421,                0.48215,                 1.4687,                 1.7224,                 1.6301,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.1297,                0.92722,                 1.1222,                 0.8062,                0.76184,                0.82374,                0.47348,                 1.4801,                 1.7531,                 1.6463,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0717,                0.89387,                 1.1337,                 0.7889,                0.80611,                0.82445,                 0.4718,                 1.4488,                 1.7016,                 1.6088,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.0646,                 0.8886,                 1.1277,                 0.7945,                0.82625,                0.82638,                0.48742,                  1.426,                 1.6355,                 1.5672,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.0416,                0.84653,                 1.1301,                0.82897,                0.83907,                0.84813,                0.49206,                 1.4166,                 1.5812,                 1.5525,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.0302,                0.83571,                 1.1181,                0.83199,                0.77234,                0.85073,                0.50673,                 1.4488,                 1.5679,                  1.558,              0.0001211,              0.0001211,              0.0001211
                     47,                  1.021,                0.84211,                 1.1117,                0.85864,                 0.7564,                 0.8501,                0.49392,                 1.4773,                 1.5606,                 1.5716,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                  1.021,                0.83832,                 1.0921,                0.85249,                 0.7626,                0.84774,                0.49168,                 1.4818,                 1.5682,                 1.5718,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 1.0173,                0.82937,                 1.1015,                0.82715,                0.76812,                0.85139,                0.49053,                 1.4844,                 1.5629,                 1.5724,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 1.0032,                0.81753,                 1.1212,                0.77826,                0.81256,                0.85106,                0.49155,                 1.4721,                 1.5725,                 1.5661,             3.3108e-05,             3.3108e-05,             3.3108e-05
